Price,Area,City,Bedrooms,Bathrooms,Location,Property_Type,Built_in_year,Parking_space,Servant_Quarters,Store_rooms,Kitchens,Drawing_Rooms
2.6 Crore,5 Marla,Islamabad,3 Beds,3 Baths,"Bahria Town, Islamabad, Islamabad Capital",House,,,,,,
1.25 Crore,5 Marla,Islamabad,2 Beds,2 Baths,"Bhara kahu, Islamabad, Islamabad Capital",House,,,,,,
14.75 Crore,1 Kanal,Islamabad,6 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
15.5 Crore,1 Kanal,Islamabad,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
1.48 Crore,8.8 Marla,Islamabad,3 Beds,3 Baths,"G-15, Islamabad, Islamabad Capital",Flat,,,,,,
3.15 Crore,8 Marla,Islamabad,5 Beds,6 Baths,"F-17, Islamabad, Islamabad Capital",House,,,,,,
14.5 Crore,1 Kanal,Islamabad,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
2.5 Crore,5 Marla,Islamabad,4 Beds,6 Baths,"B-17, Islamabad, Islamabad Capital",House,,,,,,
4.5 Crore,12 Marla,Islamabad,3 Beds,3 Baths,"Park Road, Islamabad, Islamabad Capital",House,,,,,,
2.25 Crore,6 Marla,Islamabad,4 Beds,4 Baths,"Islamabad Expressway, Islamabad, Islamabad Capital",House,,,,,,
2 Crore,5 Marla,Islamabad,4 Beds,6 Baths,"Bani Gala, Islamabad, Islamabad Capital",House,,,,,,
83 Lakh,5 Marla,Islamabad,2 Beds,2 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
12.95 Crore,1 Kanal,Islamabad,5 Beds,7 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
4.4 Crore,7 Marla,Islamabad,5 Beds,5 Baths,"Gulberg, Islamabad, Islamabad Capital",House,,,,,,
2.79 Crore,5 Marla,Islamabad,4 Beds,6 Baths,"B-17, Islamabad, Islamabad Capital",House,,,,,,
1.65 Crore,8 Marla,Islamabad,3 Beds,3 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
3.57 Crore,8 Marla,Islamabad,5 Beds,6 Baths,"Faisal Town - F-18, Islamabad, Islamabad Capital",House,,,,,,
12.9 Crore,1 Kanal,Islamabad,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
