Price,Area,City,Bedrooms,Bathrooms,Location,Property_Type,Built_in_year,Parking_space,Servant_Quarters,Store_rooms,Kitchens,Drawing_Rooms
4 Crore,6.4 Marla,Islamabad,2 Beds,4 Baths,"Park View City, Islamabad, Islamabad Capital",Flat,,,,,,
7.95 Crore,1 Kanal,Islamabad,6 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
4.25 Crore,8 Marla,Islamabad,5 Beds,7 Baths,"Bahria Town, Islamabad, Islamabad Capital",House,,,,,,
2.3 Crore,5 Marla,Islamabad,6 Beds,7 Baths,"H-13, Islamabad, Islamabad Capital",House,,,,,,
10.5 Crore,1 Kanal,Islamabad,6 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
9.5 Crore,1 Kanal,Islamabad,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
55 Crore,2.5 Kanal,Islamabad,5 Beds,6 Baths,"F-7, Islamabad, Islamabad Capital",House,,,,,,
9.3 Crore,14 Marla,Islamabad,8 Beds,6 Baths,"G-14, Islamabad, Islamabad Capital",House,,,,,,
10.9 Crore,1 Kanal,Islamabad,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
11 Crore,1 Kanal,Islamabad,10 Beds,6 Baths,"Top City 1, Islamabad, Islamabad Capital",House,,,,,,
6 Crore,8 Marla,Islamabad,5 Beds,6 Baths,"G-14, Islamabad, Islamabad Capital",House,,,,,,
2.3 Crore,5 Marla,Islamabad,4 Beds,5 Baths,"B-17, Islamabad, Islamabad Capital",House,,,,,,
12.8 Crore,1 Kanal,Islamabad,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
70 Crore,2.2 Kanal,Islamabad,10 Beds,7 Baths,"F-10, Islamabad, Islamabad Capital",House,,,,,,
24 Crore,1 Kanal,Islamabad,4 Beds,5 Baths,"F-8, Islamabad, Islamabad Capital",House,,,,,,
11.5 Crore,1 Kanal,Islamabad,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
17 Crore,1 Kanal,Islamabad,8 Beds,6 Baths,"G-13, Islamabad, Islamabad Capital",House,,,,,,
8.8 Crore,1 Kanal,Islamabad,5 Beds,5 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
24 Crore,1 Kanal,Islamabad,5 Beds,5 Baths,"F-8, Islamabad, Islamabad Capital",House,,,,,,
1.9 Crore,5.5 Marla,Islamabad,2 Beds,2 Baths,"G-15, Islamabad, Islamabad Capital",Flat,,,,,,
1.55 Crore,5.6 Marla,Islamabad,2 Beds,2 Baths,"E-11, Islamabad, Islamabad Capital",Flat,,,,,,
12 Crore,1 Kanal,Islamabad,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
65 Crore,4 Kanal,Islamabad,10 Beds,6 Baths,"F-8, Islamabad, Islamabad Capital",House,,,,,,
7.5 Crore,10 Marla,Islamabad,5 Beds,5 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
4 Crore,4 Marla,Islamabad,4 Beds,4 Baths,"G-13, Islamabad, Islamabad Capital",House,,,,,,
19.5 Crore,2 Kanal,Islamabad,6 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
1.72 Crore,4.9 Marla,Islamabad,2 Beds,-,"Islamabad Expressway, Islamabad, Islamabad Capital",Flat,,,,,,
7.8 Crore,10 Marla,Islamabad,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
28 Crore,2 Kanal,Islamabad,6 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
19 Crore,2 Kanal,Islamabad,7 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
3.2 Crore,7 Marla,Islamabad,4 Beds,6 Baths,"Bahria Town, Islamabad, Islamabad Capital",House,,,,,,
13.8 Crore,1 Kanal,Islamabad,6 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
14 Crore,1 Kanal,Islamabad,6 Beds,7 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
3.6 Crore,10 Marla,Islamabad,6 Beds,6 Baths,"F-17, Islamabad, Islamabad Capital",House,,,,,,
4.2 Crore,7 Marla,Islamabad,5 Beds,5 Baths,"Gulberg, Islamabad, Islamabad Capital",House,,,,,,
12.75 Crore,1 Kanal,Islamabad,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
7.5 Crore,5 Marla,Islamabad,5 Beds,5 Baths,"D-12, Islamabad, Islamabad Capital",House,,,,,,
35 Crore,4 Kanal,Islamabad,7 Beds,7 Baths,"Gulberg, Islamabad, Islamabad Capital",Farm House,,,,,,
2.4 Crore,5 Marla,Islamabad,-,-,"Faisal Hills, Islamabad, Islamabad Capital",House,,,,,,
1.19 Crore,3.5 Marla,Islamabad,2 Beds,2 Baths,"Gulberg, Islamabad, Islamabad Capital",Flat,,,,,,
5.3 Crore,5 Marla,Islamabad,5 Beds,6 Baths,"G-14, Islamabad, Islamabad Capital",House,,,,,,
30 Crore,1.3 Kanal,Islamabad,9 Beds,7 Baths,"F-11, Islamabad, Islamabad Capital",House,,,,,,
13 Crore,10 Marla,Islamabad,5 Beds,5 Baths,"D-12, Islamabad, Islamabad Capital",House,,,,,,
5 Crore,1 Kanal,Islamabad,7 Beds,6 Baths,"Top City 1, Islamabad, Islamabad Capital",House,,,,,,
10.5 Crore,1 Kanal,Islamabad,6 Beds,6 Baths,"B-17, Islamabad, Islamabad Capital",House,,,,,,
7 Crore,1 Kanal,Islamabad,7 Beds,6 Baths,"G-16, Islamabad, Islamabad Capital",House,,,,,,
22 Crore,2 Kanal,Islamabad,6 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
3.5 Crore,8 Marla,Islamabad,4 Beds,5 Baths,"B-17, Islamabad, Islamabad Capital",House,,,,,,
1.6 Crore,5 Marla,Islamabad,3 Beds,4 Baths,"Bani Gala, Islamabad, Islamabad Capital",House,,,,,,
1.35 Crore,6.7 Marla,Islamabad,4 Beds,4 Baths,"I-16, Islamabad, Islamabad Capital",Flat,,,,,,
1.35 Arab,5 Kanal,Islamabad,10 Beds,6 Baths,"F-6, Islamabad, Islamabad Capital",House,,,,,,
3.25 Crore,4 Marla,Islamabad,5 Beds,5 Baths,"I-11, Islamabad, Islamabad Capital",House,,,,,,
12.9 Crore,1 Kanal,Islamabad,5 Beds,-,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
7.8 Crore,1 Kanal,Islamabad,6 Beds,7 Baths,"Top City 1, Islamabad, Islamabad Capital",House,,,,,,
2.85 Crore,5 Marla,Islamabad,3 Beds,4 Baths,"Bahria Town, Islamabad, Islamabad Capital",House,,,,,,
4.25 Crore,8 Marla,Islamabad,6 Beds,6 Baths,"Kuri Road, Islamabad, Islamabad Capital",House,,,,,,
9.25 Crore,10 Marla,Islamabad,6 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
1.4 Crore,5 Marla,Islamabad,3 Beds,3 Baths,"Bani Gala, Islamabad, Islamabad Capital",House,,,,,,
1.75 Crore,4.4 Marla,Islamabad,-,1 Bath,"F-11, Islamabad, Islamabad Capital",Flat,,,,,,
1.7 Crore,4.9 Marla,Islamabad,2 Beds,2 Baths,"E-11, Islamabad, Islamabad Capital",Flat,,,,,,
1.95 Crore,5 Marla,Islamabad,3 Beds,4 Baths,"B-17, Islamabad, Islamabad Capital",House,,,,,,
4.55 Crore,10 Marla,Islamabad,4 Beds,6 Baths,"River Garden, Islamabad, Islamabad Capital",House,,,,,,
2.6 Crore,5 Marla,Islamabad,5 Beds,6 Baths,"B-17, Islamabad, Islamabad Capital",House,,,,,,
5.4 Crore,5 Marla,Islamabad,4 Beds,5 Baths,"D-12, Islamabad, Islamabad Capital",House,,,,,,
45 Crore,5 Kanal,Islamabad,6 Beds,6 Baths,"Gulberg, Islamabad, Islamabad Capital",Farm House,,,,,,
10.5 Crore,1 Kanal,Islamabad,6 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
3.8 Crore,5 Marla,Islamabad,4 Beds,5 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
11 Crore,1 Kanal,Islamabad,5 Beds,5 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
1.9 Crore,6 Marla,Islamabad,4 Beds,2 Baths,"Kuri Road, Islamabad, Islamabad Capital",House,,,,,,
12.8 Crore,1 Kanal,Islamabad,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
1.3 Crore,5 Marla,Islamabad,4 Beds,5 Baths,"E-17, Islamabad, Islamabad Capital",House,,,,,,
30 Crore,2 Kanal,Islamabad,7 Beds,7 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
10.9 Crore,1 Kanal,Islamabad,6 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
5.45 Crore,10 Marla,Islamabad,5 Beds,6 Baths,"Zaraj Housing Scheme, Islamabad, Islamabad Capital",House,,,,,,
11.5 Crore,1 Kanal,Islamabad,6 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
41.5 Crore,1 Kanal,Islamabad,6 Beds,7 Baths,"F-8, Islamabad, Islamabad Capital",House,,,,,,
46 Crore,2.1 Kanal,Islamabad,6 Beds,6 Baths,"F-8, Islamabad, Islamabad Capital",House,,,,,,
78 Lakh,5 Marla,Islamabad,2 Beds,2 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
2.75 Crore,5 Marla,Islamabad,3 Beds,4 Baths,"Bahria Town, Islamabad, Islamabad Capital",House,,,,,,
1.1 Crore,4.2 Marla,Islamabad,2 Beds,2 Baths,"DHA Defence, Islamabad, Islamabad Capital",Flat,,,,,,
9.5 Crore,1 Kanal,Islamabad,6 Beds,7 Baths,"Top City 1, Islamabad, Islamabad Capital",House,,,,,,
3.6 Crore,7 Marla,Islamabad,5 Beds,6 Baths,"FECHS, Islamabad, Islamabad Capital",House,,,,,,
65 Crore,3.6 Kanal,Islamabad,7 Beds,6 Baths,"F-8, Islamabad, Islamabad Capital",House,,,,,,
15.5 Crore,1 Kanal,Islamabad,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
48 Crore,1.3 Kanal,Islamabad,6 Beds,6 Baths,"F-7, Islamabad, Islamabad Capital",House,,,,,,
1.2 Crore,3 Marla,Islamabad,4 Beds,4 Baths,"H-13, Islamabad, Islamabad Capital",House,,,,,,
52 Crore,2.1 Kanal,Islamabad,8 Beds,7 Baths,"F-7, Islamabad, Islamabad Capital",House,,,,,,
1.6 Crore,6.3 Marla,Islamabad,3 Beds,3 Baths,"DHA Defence, Islamabad, Islamabad Capital",Flat,,,,,,
4.75 Crore,14.2 Marla,Islamabad,3 Beds,3 Baths,"Gulberg, Islamabad, Islamabad Capital",Flat,,,,,,
1.84 Crore,8 Marla,Islamabad,2 Beds,3 Baths,"F-17, Islamabad, Islamabad Capital",House,,,,,,
1.25 Crore,5 Marla,Islamabad,2 Beds,3 Baths,"Bani Gala, Islamabad, Islamabad Capital",House,,,,,,
16 Crore,2.3 Kanal,Islamabad,5 Beds,5 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
1.59 Crore,8 Marla,Islamabad,3 Beds,3 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
4.6 Crore,4 Marla,Islamabad,3 Beds,4 Baths,"G-11, Islamabad, Islamabad Capital",House,,,,,,
12.8 Crore,1 Kanal,Islamabad,7 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
12 Crore,10 Marla,Islamabad,7 Beds,6 Baths,"D-12, Islamabad, Islamabad Capital",House,,,,,,
78 Lakh,5 Marla,Islamabad,2 Beds,2 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
1.18 Crore,4.9 Marla,Islamabad,1 Bed,1 Bath,"Bahria Town, Islamabad, Islamabad Capital",Flat,,,,,,
38.5 Crore,17.8 Marla,Islamabad,7 Beds,7 Baths,"F-6, Islamabad, Islamabad Capital",House,,,,,,
80 Lakh,3.9 Marla,Islamabad,2 Beds,2 Baths,"DHA Defence, Islamabad, Islamabad Capital",Flat,,,,,,
14.9 Crore,1 Kanal,Islamabad,6 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
32 Crore,2 Kanal,Islamabad,8 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
10.5 Crore,1 Kanal,Islamabad,6 Beds,7 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
7.15 Crore,10 Marla,Islamabad,6 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
1.8 Crore,5 Marla,Islamabad,4 Beds,5 Baths,"National Police Foundation O-9, Islamabad, Islamabad Capital",House,,,,,,
78 Lakh,2.3 Marla,Islamabad,1 Bed,1 Bath,"Gulberg, Islamabad, Islamabad Capital",Flat,,,,,,
46 Crore,2.5 Kanal,Islamabad,8 Beds,6 Baths,"F-8, Islamabad, Islamabad Capital",House,,,,,,
1.75 Crore,6.3 Marla,Islamabad,2 Beds,2 Baths,"DHA Defence, Islamabad, Islamabad Capital",Flat,,,,,,
3.5 Crore,10 Marla,Islamabad,6 Beds,6 Baths,"PWD Housing Scheme, Islamabad, Islamabad Capital",House,,,,,,
1.6 Crore,8 Marla,Islamabad,3 Beds,3 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
5.15 Crore,7 Marla,Islamabad,4 Beds,4 Baths,"G-13, Islamabad, Islamabad Capital",House,,,,,,
40 Crore,1.3 Kanal,Islamabad,5 Beds,6 Baths,"F-7, Islamabad, Islamabad Capital",House,,,,,,
13.8 Crore,1 Kanal,Islamabad,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
6.25 Crore,10 Marla,Islamabad,5 Beds,6 Baths,"Bahria Town, Islamabad, Islamabad Capital",House,,,,,,
1.65 Crore,5 Marla,Islamabad,5 Beds,6 Baths,"Ghauri Town, Islamabad, Islamabad Capital",House,,,,,,
26 Crore,1.3 Kanal,Islamabad,6 Beds,6 Baths,"F-8, Islamabad, Islamabad Capital",House,,,,,,
3.75 Crore,4 Marla,Islamabad,5 Beds,6 Baths,"G-13, Islamabad, Islamabad Capital",House,,,,,,
2.25 Crore,4.9 Marla,Islamabad,2 Beds,2 Baths,"Gulberg, Islamabad, Islamabad Capital",Flat,,,,,,
1.1 Crore,4.2 Marla,Islamabad,2 Beds,2 Baths,"GT Road, Islamabad, Islamabad Capital",Flat,,,,,,
5.8 Crore,8 Marla,Islamabad,5 Beds,6 Baths,"G-13, Islamabad, Islamabad Capital",House,,,,,,
16 Crore,2.5 Kanal,Islamabad,4 Beds,5 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
2.8 Crore,7.8 Marla,Islamabad,2 Beds,2 Baths,"F-11, Islamabad, Islamabad Capital",Flat,,,,,,
2.48 Crore,6.9 Marla,Islamabad,2 Beds,2 Baths,"Canyon Views Cvrp, Islamabad, Islamabad Capital",Flat,,,,,,
1.32 Crore,3.5 Marla,Islamabad,-,-,"Faisal Hills, Islamabad, Islamabad Capital",Flat,,,,,,
1.15 Crore,5.1 Marla,Islamabad,2 Beds,2 Baths,"DHA Defence, Islamabad, Islamabad Capital",Flat,,,,,,
81 Lakh,7 Marla,Islamabad,3 Beds,3 Baths,"F-17, Islamabad, Islamabad Capital",Flat,,,,,,
12.99 Crore,14.2 Marla,Islamabad,7 Beds,7 Baths,"G-13, Islamabad, Islamabad Capital",House,,,,,,
78 Lakh,5 Marla,Islamabad,2 Beds,2 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
1.48 Crore,5 Marla,Islamabad,3 Beds,4 Baths,"Bani Gala, Islamabad, Islamabad Capital",House,,,,,,
24 Crore,1.2 Kanal,Islamabad,9 Beds,-,"D-12, Islamabad, Islamabad Capital",House,,,,,,
